Nome_grupo;hq_estreia;ano_estreia;Id_personagem
Liga da Justica;The Brave and the Bold #28;1960;/wiki/Batman_(Bruce_Wayne) 
Liga da Justica;The Brave and the Bold #29;1960;/wiki/Superman_(Clark_Kent) 
Liga da Justica;The Brave and the Bold #30;1960;/wiki/Green_Lantern_(Hal_Jordan)
Liga da Justica;The Brave and the Bold #31;1960;/wiki/Wonder_Woman_(Diana_Prince)
Liga da Justica;The Brave and the Bold #32;1960;/wiki/Aquaman_(Arthur_Curry)
Liga da Justica;The Brave and the Bold #33;1960;/wiki/Flash_(Barry_Allen)
Liga da Justica;The Brave and the Bold #34;1960;/wiki/John_Stewart_(New_Earth)
Liga da Justica;The Brave and the Bold #35;1960;/wiki/Zatanna_Zatara_(New_Earth)
Liga da Justica;The Brave and the Bold #36;1960;/wiki/Lobo_(New_Earth)
Liga da Justica;The Brave and the Bold #37;1960;/wiki/Green_Arrow_(Oliver_Queen)
Liga da Justica;The Brave and the Bold #38;1960;/wiki/J%27onn_J%27onzz_(New_Earth)
Esquadrao Suicida;The Brave and the Bold #25;1959;/wiki/Floyd_Lawton_(New_Earth)
Esquadrao Suicida;The Brave and the Bold #26;1959;/wiki/Amanda_Waller_(New_Earth)
Esquadrao Suicida;The Brave and the Bold #27;1959;/wiki/Bane_(New_Earth)
Familia Batman;Detective Comics #38;1940;/wiki/Barbara_Gordon_(New_Earth)
Jovens Titas;The Brave and the Bold #54;1964;/wiki/Timothy_Drake_(New_Earth)
Jovens Titas;The Brave and the Bold #54;1964;/wiki/Starfire_(New_Earth)
Liga da Injustica;Justice League International #23.;1989;/wiki/Alexander_Luthor_(New_Earth)
Liga da Injustica;Justice League International #23.;1989;/wiki/Joker_(New_Earth)
Liga da Injustica;Justice League International #23.;1989;/wiki/Harvey_Dent_(New_Earth)
Liga da Injustica;Justice League International #23.;1989;/wiki/Thaal_Sinestro_(New_Earth)
Liga da Injustica;Justice League International #23.;1989;/wiki/Black_Manta_(New_Earth)
Liga da Injustica;Justice League International #23.;1989;/wiki/Gorilla_Grodd_(New_Earth)
Liga da Justica da Anarquia;Justice Leagues: Justice League of Amazons #1;2001;/wiki/Harleen_Quinzel_(New_Earth)
Newcastle Crew;Swamp Thing Vol 2 #48;1986;/wiki/John_Constantine_(New_Earth)
Sexteto Secreto;Villains United #1;2005;/wiki/Trigon_(New_Earth)
Sociedade da Justica da America;All-Star Comics #3;1940;/wiki/Kara_Zor-L_(Earth-Two)
Deuses do Olimpo;;;/wiki/Ares_(New_Earth)
Criminosos da zona fantasma;;;/wiki/Dru-Zod_II_(New_Earth)
Sociedade Secreta de Super Viloes;Secret Society of Super-Villains #1;1976;/wiki/Amazo_(New_Earth)
Conselho Negro;Mighty Thor (Vol. 3) #1;2015;/Loki_Laufeyson_(Earth-616)
Culto da Pantera;Fantastic Four #52;1966;/Erik_Killmonger_(Earth-616)
Culto da Pantera;Fantastic Four #52;1966;/T%27Challa_(Earth-616)
Eternity Watch;Ultimates 2 (Vol. 2) #8;2017;/Galactus_(Earth-616)
Eternos;Eternals #1;1976;/Thanos_(Earth-616)
Guardioes da Galaxia;Annihilation: Conquest - Starlord #1;2007;/Gamora_(Earth-616)
Guardioes da Galaxia;Annihilation: Conquest - Starlord #1;2007;/Peter_Quill_(Earth-616)
Hydra;Strange Tales #135;1965;/Helmut_Zemo_(Earth-616)
Illuminatti;New Avengers #7;2005;/Stephen_Strange_(Earth-616)
Irmandade de Mutantes;X-Men #4;1974;/Max_Eisenhardt_(Earth-616)
Mestres do Mal;Avengers #6;1964;/Ultron_(Earth-616)
Novos Vingadores;New Avengers #3;2005;/James_Buchanan_Barnes_(Earth-616)
Sexteto Sinistro;Amazing Spider-Man Annual #1;1964;/Norman_Osborn_(Earth-616)
Sexteto Sinistro;Amazing Spider-Man Annual #1;1964;/Quentin_Beck_(Earth-616)
Thunderbolts;Incredible Hulk #449;1996;/Emil_Blonsky_(Earth-616)
Thunderbolts;Incredible Hulk #449;1996;/Anton_Vanko_(Whiplash)_(Earth-616)
Vingadores;Avengers #1;1963;/Captain_America_(Steven_Rogers)
Vingadores;Avengers #1;1963;/Iron_Man_(Anthony_%22Tony%22_Stark)
Vingadores;Avengers #1;1963;/Thor_(Thor_Odinson)
Vingadores;Avengers #1;1963;/Hulk_(Robert_Bruce_Banner)
Vingadores;Avengers #1;1963;/Clinton_Barton_(Earth-616)
Vingadores;Avengers #1;1963;/Wanda_Maximoff_(Earth-616)
Vingadores;Avengers #1;1963;/Natalia_Romanova_(Earth-616)
Vingadores;Avengers #1;1963;/Carol_Danvers_(Earth-616)
Vingadores;Avengers #1;1963;/Pietro_Maximoff_(Earth-616)
X-Men;X-Men #1;1963;/Wolverine_(James_%22Logan%22_Howlett)
X-Men;X-Men #1;1963;/Scott_Summers_(Earth-616)
X-Men;X-Men #1;1963;/Charles_Xavier_(Earth-616)
Vingadores;Avengers #1;1963;/Spider-Man_(Peter_Parker)
New U Technologies;;;/Gwendolyne_Stacy_(Earth-616)
